brand,model,title,price,shipping,location_country,year,condition,reference,listingUrl,imageUrl
Patek,"Philippe Aquanaut for $103,000 for sale from a Seller on Chrono24","Patek Philippe Aquanaut for $103,000 for sale from a Seller on Chrono24","$103,000",+ $79 for shipping,US,,,,https://www.chrono24.com/patekphilippe/aquanaut--id44974911.htm,https://img.chrono24.com/images/uhren/obuiz2tt0g66-heschnettn9sppgztv9sx7mw-ExtraLarge.jpg
Patek,Philippe World Time 5230G-010 New York Special Fullset for Price on request for sale from a Trusted Seller on Chrono24,Patek Philippe World Time 5230G-010 New York Special Fullset for Price on request for sale from a Trusted Seller on Chrono24,"$52,200",+ $79 for shipping,US,,,,https://www.chrono24.com/patekphilippe/patek-philippe-world-time--id44974469.htm,https://img.chrono24.com/images/uhren/44974469-he4bm820fk6hh0g5ywkmtzm9-ExtraLarge.jpg
Patek,"Philippe Flyback Chronograph Annual Calendar 5905r-010... for $83,531 for sale from a Trusted Seller on Chrono24","Patek Philippe Flyback Chronograph Annual Calendar 5905r-010... for $83,531 for sale from a Trusted Seller on Chrono24","$83,531",+ $79 for shipping,US,,,,https://www.chrono24.com/patekphilippe/patek-philippe-flyback-chronograph-annual-calendar-5905r-010-18kt--id44972068.htm,https://img.chrono24.com/images/uhren/44972068-tm0969zi400zaigypgqjvlg1-ExtraLarge.jpg
Patek,"Philippe Aquanaut neu / ungetragen aus 2025 for $94,579 for sale from a Trusted Seller on Chrono24","Patek Philippe Aquanaut neu / ungetragen aus 2025 for $94,579 for sale from a Trusted Seller on Chrono24","$94,579",+ $79 for shipping,US,,,,https://www.chrono24.com/patekphilippe/patek-philippe-aquanaut--id44968775.htm,https://img.chrono24.com/images/uhren/44968775-wtgzx37931cu7tznpigta7bv-ExtraLarge.jpg
Patek,"Philippe Annual Calendar 2024 Full Set for $50,797 for sale from a Trusted Seller on Chrono24","Patek Philippe Annual Calendar 2024 Full Set for $50,797 for sale from a Trusted Seller on Chrono24","$50,797",+ $79 for shipping,US,,,,https://www.chrono24.com/patekphilippe/annual-calendar--id44968580.htm,https://img.chrono24.com/images/uhren/9x4zvcnxbl6z-3djlycgtrod8yamcn6rsix8r-ExtraLarge.jpg
Patek,"Philippe SLIDER 2025 Patek Philippe Aquanaut 5164R-001... for $150,000 for sale from a Seller on Chrono24","Patek Philippe SLIDER 2025 Patek Philippe Aquanaut 5164R-001... for $150,000 for sale from a Seller on Chrono24","$150,000",+ $79 for shipping,US,,,,https://www.chrono24.com/patekphilippe/slider-2025-patek-philippe-aquanaut-5164r-001-travel-time-brown-dial-rose-gold-tropical-strap--id44965401.htm,https://img.chrono24.com/images/uhren/qtoo795dczrm-pwgbjkwva2amf874ay45mcxq-ExtraLarge.jpg
Patek,"Philippe World Time Date Complications White Gold 40mm... for $68,499 for sale from a Trusted Seller on Chrono24","Patek Philippe World Time Date Complications White Gold 40mm... for $68,499 for sale from a Trusted Seller on Chrono24","$68,499",+ $79 for shipping,US,,,,https://www.chrono24.com/patekphilippe/patek-philippe-world-time--id44964269.htm,https://img.chrono24.com/images/uhren/p6hwbdj7tpw0-s2y0u4j3qhmzwgok4ssrzxyv-ExtraLarge.jpg
Patek,"Philippe Nautilus Full set with tags and paperwork,barel... for $115,000 for sale from a Private Seller on Chrono24","Patek Philippe Nautilus Full set with tags and paperwork,barel... for $115,000 for sale from a Private Seller on Chrono24","$115,000",+ $79 for shipping,US,,,,https://www.chrono24.com/patekphilippe/nautilus--id44964062.htm,https://img.chrono24.com/images/uhren/44964062-uuihk5ml7gh0rlxhwdhsi0ea-ExtraLarge.jpg
Patek,"Philippe Cubitus UNWORN 2025 for $95,995 for sale from a Trusted Seller on Chrono24","Patek Philippe Cubitus UNWORN 2025 for $95,995 for sale from a Trusted Seller on Chrono24","$95,995",+ $79 for shipping,US,,,,https://www.chrono24.com/patekphilippe/patek-philippe-cubitus--id44962604.htm,https://img.chrono24.com/images/uhren/44962604-v7xgpmstdyt8f6ai5g54iay5-ExtraLarge.jpg
Patek,Philippe Aquanaut 40mm 5167R Tiffany & Co Brown Dial for Price on request for sale from a Trusted Seller on Chrono24,Patek Philippe Aquanaut 40mm 5167R Tiffany & Co Brown Dial for Price on request for sale from a Trusted Seller on Chrono24,"$52,200",+ $79 for shipping,US,,,,https://www.chrono24.com/patekphilippe/patek-philippe-aquanaut-40mm-5167r-tiffany--co-brown-dial--id44962372.htm,https://img.chrono24.com/images/uhren/44962372-n5pr50akgwxmum3uuukz03wt-ExtraLarge.jpg
Patek,"Philippe Calatrava White Gold Silver Dial Clous de Paris... for $31,800 for sale from a Trusted Seller on Chrono24","Patek Philippe Calatrava White Gold Silver Dial Clous de Paris... for $31,800 for sale from a Trusted Seller on Chrono24","$31,800",+ $79 for shipping,US,,,,https://www.chrono24.com/patekphilippe/calatrava--id44961719.htm,https://img.chrono24.com/images/uhren/2d67qj9v5moj-uyc1k9it9lal6vwhtr8u3mp2-ExtraLarge.jpg
Patek,"Philippe World Time Flyback Chronograph Platinum Green... for $99,800 for sale from a Trusted Seller on Chrono24","Patek Philippe World Time Flyback Chronograph Platinum Green... for $99,800 for sale from a Trusted Seller on Chrono24","$99,800",+ $79 for shipping,US,,,,https://www.chrono24.com/patekphilippe/world-time-flyback-chronograph--id44961644.htm,https://img.chrono24.com/images/uhren/rem207dj31l3-y4mjz3hxlziczq6866vlgm4a-ExtraLarge.jpg
Patek,"Philippe Aquanaut Travel Time 5164A NEW 2019 ITA for $115,341 for sale from a Seller on Chrono24","Patek Philippe Aquanaut Travel Time 5164A NEW 2019 ITA for $115,341 for sale from a Seller on Chrono24","$115,341",+ $79 for shipping,US,,,,https://www.chrono24.com/patekphilippe/patek-philippe-aquanaut-travel-time--id44960749.htm,https://img.chrono24.com/images/uhren/44960749-4oeac1yrzbztwp2e3gehy4xg-ExtraLarge.jpg
Patek,"Philippe Nautilus Complete Set 2022 for $167,003 for sale from a Seller on Chrono24","Patek Philippe Nautilus Complete Set 2022 for $167,003 for sale from a Seller on Chrono24","$167,003",+ $79 for shipping,US,,,,https://www.chrono24.com/patekphilippe/nautilus--id44960553.htm,https://img.chrono24.com/images/uhren/rlktxfxb8y2k-aa6fej2sqg0tkvxfy2fo99zk-ExtraLarge.jpg
Patek,"Philippe Nautilus 5980/1R NEW BUCKLE NEW 2023 for $242,701 for sale from a Trusted Seller on Chrono24","Patek Philippe Nautilus 5980/1R NEW BUCKLE NEW 2023 for $242,701 for sale from a Trusted Seller on Chrono24","$242,701",+ $79 for shipping,US,,,,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id44959800.htm,https://img.chrono24.com/images/uhren/44959800-nstwdrpmso99lvpck9dj3uj8-ExtraLarge.jpg
Patek,"Philippe Nautilus for $94,635 for sale from a Trusted Seller on Chrono24","Patek Philippe Nautilus for $94,635 for sale from a Trusted Seller on Chrono24","$94,635",+ $79 for shipping,US,,,,https://www.chrono24.com/patekphilippe/nautilus--id44959089.htm,https://img.chrono24.com/images/uhren/ewd93fqhxgrp-fwg8via0f2cpo7w4dt1a3kee-ExtraLarge.jpg
